Date,Latitude,Longitude,Leaf_Wetness,Elevation,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Wind_Speed,Temperature,isFire
2014-08-14T23:00:00Z,42.048,-122.345,0,1066,-1,2.39,42.8,0.087,434.5,9.2,20.3,1
2014-08-15T23:00:00Z,42.048,-122.345,0,1066,-1,0,33,0.088,599.8,9.7,24.8,1
2014-08-16T23:00:00Z,42.048,-122.345,0,1066,-1,0,22.8,0.087,560.1,9.6,27,1
2014-08-17T23:00:00Z,42.048,-122.345,0,1066,-1,0.15,25.5,0.087,532.6,8.3,27.3,1
2014-07-30T19:01:00Z,41.1336,-121.2144,0,1287,-2,0,15.9,0.01,773.9,10.5,29.6,1
2014-07-31T19:01:00Z,41.1336,-121.2144,0,1287,-2,0,18.7,0.013,798.1,9.8,30.3,1
2014-08-01T19:01:00Z,41.1336,-121.2144,0,1287,-2,0,13.8,0.016,821.7,12.8,28.9,1
2014-08-02T19:01:00Z,41.1336,-121.2144,0,1287,-2,0,15.8,0.016,773,11.6,30.2,1
2014-08-03T19:01:00Z,41.1336,-121.2144,0,1287,-2,0,16.5,0.017,833.5,11.7,29.1,1
2014-08-04T19:01:00Z,41.1336,-121.2144,0,1287,-2,0,30.1,0.026,701.1,15,29.2,1
2014-08-05T19:01:00Z,41.1336,-121.2144,0,1287,-2,2.46,61.1,0.041,535.6,13.2,26,1
2014-08-06T19:01:00Z,41.1336,-121.2144,0,1287,-2,3.7,39.7,0.044,806.4,10,21.7,1
2014-08-07T19:01:00Z,41.1336,-121.2144,0,1287,-2,0,30.6,0.045,805.2,7,26.5,1
2014-08-08T19:01:00Z,41.1336,-121.2144,0,1287,-2,0,30.9,0.037,798.7,11.1,27.9,1
2014-08-09T19:01:00Z,41.1336,-121.2144,0,1287,-2,1.33,24.6,0.023,820.4,11,26.8,1
2014-08-10T19:01:00Z,41.1336,-121.2144,0,1287,-2,0.32,19.5,0.014,790,8.7,27.3,1
2014-08-11T19:01:00Z,41.1336,-121.2144,0,1287,-2,1.83,24.3,0.02,752.7,7,28.4,1
2014-08-12T19:01:00Z,41.1336,-121.2144,0,1287,-2,1.24,27.8,0.026,735.9,11.9,26.8,1
2014-07-11T15:37:00Z,40.4314,-122.750788,0,517,-3,0.14,46.6,0.059,185.4,11.1,32.4,1
2014-07-12T15:37:00Z,40.4314,-122.750788,0,517,-3,0.29,41.3,0.053,290.2,9.3,28.6,1
2014-07-13T15:37:00Z,40.4314,-122.750788,0,517,-3,0,33,0.059,281.4,7.6,34.3,1
2014-07-14T15:37:00Z,40.4314,-122.750788,0,517,-3,0,35.7,0.058,284.6,15.2,35.3,1
2014-07-15T15:37:00Z,40.4314,-122.750788,0,517,-3,0,30,0.055,192.9,8.3,37.8,1
2014-07-16T15:37:00Z,40.4314,-122.750788,0,517,-3,0,38.2,0.058,268.7,6.8,33.8,1
