Date,Latitude,Longitude,Leaf_Wetness,Elevation,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Wind_Speed,Temperature,isFire
2018-04-26T00:00:00Z,37.4,-121.1,0,46,-4,2.63,20.9,0,376.6,11.2,30.9,0
2020-02-18T00:00:00Z,40.7,-121.5,0,1754,4,0,36,0.97,25.7,17.5,3.4,0
2018-12-08T00:00:00Z,40.4,-122.1,1,211,-3,0,63.2,0.98,71.5,5.7,13.1,0
2021-06-05T00:00:00Z,40.6,-121.6,0,1750,2,0,23.2,0.541,458.4,18.2,23.6,0
2014-08-25T00:00:00Z,37.7,-118.7,0,2159,-4,0,19.1,0,337.1,7.3,20.1,0
2021-02-26T00:00:00Z,37.1,-118.7,0,3832,-4,0,27.9,0.119,333.9,31.8,-3.4,0
2019-02-09T00:00:00Z,36.3,-118.5,0,2229,-4,0,45.7,0.151,261.7,6.2,-4.2,0
2015-01-07T00:00:00Z,38.8,-120.2,0,1985,2,0,55.9,1.177,116.5,11.3,12,0
2018-04-10T00:00:00Z,41.2,-121.3,0,1434,0,0,34.7,1.097,382.5,17.5,17.4,0
2019-10-27T00:00:00Z,38,-121,0,47,-4,0,25.3,0.083,164.5,8.1,26.3,0
2020-09-22T00:00:00Z,38.5,-122.2,0,141,-4,0,26.4,0.008,288.7,8.6,29.8,0
2014-09-28T00:00:00Z,37.5,-119.8,1,1019,-3,2.01,84.7,0.294,106.8,7.1,14.2,0
2020-03-22T00:00:00Z,38.3,-121.5,0,0,-4,0.23,46.5,0.281,351.6,9.6,16.2,0
2017-08-08T00:00:00Z,37.6,-118.6,0,2210,0,0,25.5,0.254,371.6,11.2,20.3,0
2018-10-22T00:00:00Z,39.2,-122.1,0,15,-4,0.23,15.6,0,177.6,10.3,29.2,0
2021-09-06T00:00:00Z,38.6,-120.1,0,2523,-2,0,18.2,0.077,371.9,13.7,18.1,0
2020-05-19T00:00:00Z,37.7,-118.3,0,3160,-3,0,28.9,0.242,408.5,35.4,8.1,0
2016-08-24T00:00:00Z,41.1,-120.2,0,2238,-4,0,22.1,0.065,404.7,26.9,17.9,0
2015-04-14T00:00:00Z,38.5,-123,0,24,0,0,37.5,0.7,419.1,13.2,21,0
2021-05-21T00:00:00Z,38.5,-122.4,0,253,-3,1.59,18.4,0.324,398.5,20.4,19.1,0
2018-11-01T00:00:00Z,41.7,-122.1,1,1543,-4,0,72,0.008,26.6,12.1,9.6,0
2021-04-25T00:00:00Z,38.2,-121,0,50,-4,0.84,35.1,0.361,232,10.2,23.1,0
2019-01-28T00:00:00Z,38.8,-121.7,0,7,2,0.3,58.8,0.962,183.5,10,17.4,0
2014-05-11T00:00:00Z,37.3,-118.4,0,1391,-2,0,19.6,0.146,399.9,10.2,20.1,0
2019-12-25T00:00:00Z,39.7,-122.3,0,105,0,0,74,1.025,15.8,9.6,11.7,0
2021-01-03T00:00:00Z,38.1,-120.4,0,641,-4,0.36,69.7,0.928,26,10,10.7,0
2016-05-01T00:00:00Z,39.7,-121.1,0,1393,4,0.34,32.4,1.043,433.1,40.3,12.8,0
2019-01-18T00:00:00Z,37.9,-119.7,1,2405,-3,13.97,99.5,1.014,0,56,0.8,0
2015-06-05T00:00:00Z,38,-120.5,0,328,-4,0,30.3,0.174,398.5,9.8,24.1,0
2019-06-25T00:00:00Z,40.2,-120.1,0,1225,-2,0,15.9,0.271,418.2,17.1,26.4,0
2018-08-23T00:00:00Z,41.2,-122.2,0,1314,-4,0,21.4,0.065,413.7,12.3,23.6,0
2021-01-11T00:00:00Z,41.8,-122,0,1297,-2,0.73,64.3,0.838,95,3.5,5,0
2020-05-01T00:00:00Z,37.5,-120.9,0,27,-4,0.17,15.1,0.029,384.4,21.8,26.9,0
2016-05-04T00:00:00Z,37.8,-118.6,0,2165,-4,0,26.4,0.375,282.6,15,12.2,0
2014-05-27T00:00:00Z,36.2,-120.6,0,1149,0,0,14.2,0.485,414.1,7.7,25.6,0
2018-01-22T00:00:00Z,38.2,-122.6,1,65,-4,0,81.4,0.858,34.1,15.3,11.5,0
2016-06-22T00:00:00Z,41.7,-119.3,0,1826,-2,0,22.3,0.291,447.1,17.6,24,0
2015-05-10T00:00:00Z,39,-122,0,15,-3,0,24.4,0.061,407.7,9.9,27.2,0
2020-08-21T00:00:00Z,39.8,-120.5,0,1484,-4,0,9.3,0.071,410.6,12,27.8,0
2015-06-18T00:00:00Z,41.4,-119.3,0,1899,-3,0,13,0.183,437.9,18.8,23.5,0
2015-12-06T00:00:00Z,39.4,-121.8,1,20,-4,0,66.8,0.264,31.2,7.5,13.7,0
2016-10-11T00:00:00Z,37.7,-120.5,0,93,-3,0,22.9,0,196.7,10,29.5,0
2017-04-02T00:00:00Z,40.1,-121.8,0,604,4,0,41.4,1.134,362.7,19.9,22.4,0
2016-02-15T00:00:00Z,37.5,-119.4,0,2164,2,0,50.4,1.103,225.7,10.2,10.8,0
2015-10-11T00:00:00Z,38.6,-122.2,0,277,-4,0,45,0.023,214.5,10,28.7,0
2017-09-18T00:00:00Z,41.6,-119.4,0,1739,-2,0,20.5,0.202,278.1,19.3,16.9,0
2014-08-05T00:00:00Z,40.2,-121.8,0,841,-4,0,37.4,0.107,226.9,11.7,26.8,0
2018-10-12T00:00:00Z,37,-119.4,0,575,-4,0,43.5,0.061,168.8,8.2,20.2,0
2015-07-19T00:00:00Z,39.9,-120.6,0,2041,-4,0.53,31.7,0.405,390.4,17.2,20.2,0
2016-11-23T00:00:00Z,38.5,-120.3,1,1458,4,0,82.9,1.328,46.2,7,5.5,0
2015-08-19T00:00:00Z,41.1,-120.1,0,2142,-4,0,13.5,0.214,405.9,10.6,23.9,0
2018-09-17T00:00:00Z,38.9,-120.8,0,832,-4,4.47,23.6,0,313.2,10.8,20.1,0
2016-07-13T00:00:00Z,40.6,-119.4,0,1193,-4,0,13.6,0,449.7,14,26.8,0
2016-07-28T00:00:00Z,40.1,-121.3,0,1683,-4,0,12.4,0.209,456.2,9.2,28.9,0
2017-11-27T00:00:00Z,37.2,-120,0,144,-4,0,47.5,0.014,15.2,23.1,24.8,0
2016-01-05T00:00:00Z,37.3,-119.3,1,1669,1,0.81,93.2,0.928,9.8,3.7,7.8,0
2021-03-02T00:00:00Z,40.6,-120.8,0,1572,-3,0,36.5,0.81,340.8,16.4,6.8,0
2015-12-20T00:00:00Z,39.5,-122,0,27,-4,5.46,69.8,0.615,51.2,23.9,9.2,0
2017-06-26T00:00:00Z,38.2,-122.2,0,161,0,0,45.8,0.112,466,31,27.7,0
2015-10-20T00:00:00Z,36.8,-121,0,863,-4,0,56.4,0,130.5,17.5,14,0
2017-11-17T00:00:00Z,41,-121.1,1,1651,-1,0.5,98.3,0.943,10.4,36.3,4.4,0
2016-04-12T00:00:00Z,38.1,-122.7,0,269,4,0.47,72.4,1.004,250.7,10,14,0
2015-12-17T00:00:00Z,38.3,-122.4,0,189,-4,0,49.9,0.728,86.4,13.8,10.6,0
2019-12-24T00:00:00Z,38.6,-122.5,0,572,1,0,65.4,1.23,128,19.9,7.9,0
2016-03-14T00:00:00Z,40.9,-121.8,1,1591,4,26.7,95.7,1.291,0,77.1,2,0
2019-03-04T00:00:00Z,40.4,-121.5,1,1801,0,0,91.7,0.979,93.1,5.7,1.9,0
2015-04-24T00:00:00Z,38.1,-120.4,0,641,1,1.49,57.8,0.587,306.9,7.8,16.8,0
2014-01-07T00:00:00Z,39.9,-120.2,0,1748,3,0,36.4,0.575,30.4,10.4,5.6,0
2018-07-11T00:00:00Z,40.2,-121.7,0,953,-4,0,16.4,0.133,455,10.5,29.1,0
2018-11-02T00:00:00Z,37.4,-119.4,0,1532,-4,0,33.6,0.079,18.5,8.8,19.8,0
2016-04-26T00:00:00Z,41.7,-119.7,0,1944,0,2.86,36.8,0.491,11.5,37.9,3.8,0
2015-07-18T00:00:00Z,40,-121.4,0,1880,-4,0,34.4,0.405,470.2,10.3,20.6,0
2016-12-21T00:00:00Z,37.2,-118.4,0,2209,-2,0,26.2,0.442,7,2.7,7.7,0
2014-04-11T00:00:00Z,37.2,-120.6,0,36,-1,0,24.6,0.251,358.5,15.8,28,0
2015-10-23T00:00:00Z,36,-120.5,0,952,-3,0,34.4,0.001,171.2,6.4,18.7,0
2015-05-25T00:00:00Z,37.4,-120.4,0,122,-4,0,31.3,0.067,394.3,14.7,24.9,0
2015-05-17T00:00:00Z,38,-122.4,0,0,-4,0,67.9,-666,441.2,19.4,15.1,0
2015-02-01T00:00:00Z,39.6,-121,0,1305,4,0,32.1,0.86,224,44.8,12.9,0
2014-07-18T00:00:00Z,38.3,-121.7,0,0,-3,0,48.5,0.095,395.3,29,26.4,0
2014-03-27T00:00:00Z,38.8,-120.2,1,1985,2,16.53,98.4,1.119,0,24.7,2.2,0
2014-12-17T00:00:00Z,39.4,-121.4,0,274,3,12.34,68.7,1.453,27.3,25.7,11.3,0
2020-05-22T00:00:00Z,40.5,-119.4,0,1293,-4,0,22.7,0,321.3,21,19.3,0
2020-06-03T00:00:00Z,39,-120.8,0,302,-1,0,29.6,0.776,408.6,9.7,30.5,0
2021-06-18T00:00:00Z,38.9,-120.6,0,1311,-3,0,6.8,0.194,425.4,9.9,30.7,0
2020-08-07T00:00:00Z,37.8,-118.3,0,2971,-4,0,18.9,0.016,407.7,8,16.7,0
2016-11-19T00:00:00Z,39.6,-121.5,0,496,-3,0,43.9,0.853,68.6,15.9,12.3,0
2019-03-09T00:00:00Z,40.5,-120.5,0,1596,1,0,51.3,1.051,246.5,23.4,0.4,0
2017-03-14T00:00:00Z,41,-120.3,0,1810,2,0,26.5,1.134,366.9,9,12.8,0
2021-09-02T00:00:00Z,40.2,-119.8,0,1231,-3,0,8.6,0,359.5,17.7,31,0
2017-10-01T00:00:00Z,41,-122.2,0,772,-4,0,16.1,0.031,268,16.5,21.5,0
2015-11-04T00:00:00Z,36.9,-119.1,0,950,-4,16.23,85,0.588,22.9,4.6,5.8,0
2015-10-27T00:00:00Z,39.7,-121.1,0,1393,-4,0,24.2,0.391,156,14.2,14.8,0
2021-02-27T00:00:00Z,38.3,-122.4,0,189,-2,0,40.1,0.779,327.3,13.1,15.9,0
2018-10-09T00:00:00Z,40.2,-119.3,0,1156,-4,0,46.9,0,163.2,7.7,14.6,0
2017-07-05T00:00:00Z,38.4,-122.4,0,210,-4,0,28.1,0.097,471.6,10.3,26.6,0
2019-04-03T00:00:00Z,39.2,-120.7,1,827,4,28.13,94.4,1.406,53.1,11.4,11.4,0
2019-04-10T00:00:00Z,37.8,-119.4,0,2831,-4,0.83,58.3,0.166,343.4,21.1,3.4,0
2016-01-24T00:00:00Z,37.1,-118.6,0,2726,-4,19.66,84.1,0.381,0,18.5,-1.7,0
2017-09-05T00:00:00Z,39.9,-121.9,0,111,-4,2.53,22.9,0.057,306.6,12.3,39.7,0
2014-02-15T00:00:00Z,41.6,-121.4,1,1422,1,12.12,94.8,0.991,30.4,36.4,6.3,0
2017-10-24T00:00:00Z,40.5,-122.1,0,264,-4,0,31,0.18,155.3,21.5,31.1,0
2020-06-21T00:00:00Z,37.4,-118.5,0,1356,-3,0,10.3,0.185,345,6.5,30,0
2017-03-13T00:00:00Z,36.6,-118.1,0,1320,4,0,23.2,0.944,348.7,8.3,16.9,0
2017-10-27T00:00:00Z,38,-121.1,0,24,-4,0,33.9,0,151.8,7.1,28.1,0
2015-02-12T00:00:00Z,39.2,-122.4,0,337,4,0,48.2,1.204,201,14.4,16.6,0
2019-04-15T00:00:00Z,37.5,-118.1,0,2885,1,0,37.1,0.89,376.9,12.4,6.2,0
2015-03-08T00:00:00Z,41.6,-120.2,0,1474,1,0,28.1,0.731,328.3,4.5,14.5,0
2014-07-03T00:00:00Z,38.2,-122.7,0,66,-2,0,47.1,0.137,462.7,11.1,24.2,0
2016-03-05T00:00:00Z,38.6,-122.7,1,192,4,0.44,94.1,0.92,69.4,8.6,14.4,0
2021-07-22T00:00:00Z,39.5,-121.2,0,938,-4,0,11,0.035,449.7,15.8,28.5,0
2015-08-20T00:00:00Z,39.1,-121.5,0,20,-4,0,21,0,381.8,17.6,34.5,0
2014-03-14T00:00:00Z,36.7,-119.1,0,921,-4,0,24.5,0.813,337.8,7.9,13,0
2015-08-03T00:00:00Z,36.5,-118.3,0,3367,-4,1.48,27.9,0,361.9,6.3,11.6,0
2020-05-19T00:00:00Z,40.4,-120.7,0,1463,0,0,47.1,0.608,390.9,24.7,7.4,0
2019-04-12T00:00:00Z,37.5,-119.3,1,2177,1,0,82,1.181,122.2,10.5,4.9,0
2019-06-25T00:00:00Z,37.2,-120.7,0,28,-4,0,11.7,0,369.2,16.1,35.8,0
